,,SMALL SIMPLEX,SMALL DUPLEX,SIMPLEX,DUPLEX,TRIPLEX,MODERN,SCRIPT SIMPLEX,SCRIPT DUPLEX,ITALLIC DUPLEX,ITALLIC TRIPLEX,FANCY,GOTHIC
0,NUL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,SOH,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,STX,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,ETX,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,EOT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,ENQ,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,UNK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,BEL,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,BS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,HT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,LF,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,VT,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
12,FF,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,CR,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
14,SO,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
15,SI,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,DLE,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,DC1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,DC2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
19,DC3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
20,DC4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,NAK,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
22,SYN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
23,ETB,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
24,CAN,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
25,EM,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,SUB,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,ESC,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
28,FS,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
